od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
10->5,10,5,408,397,6.0,0.28512839,1.71077034,4.28922966,1.0,True,0.0,539.967979686179,539.967979686179,647.9615756234148,0.0,107.9935959372358
10->6,10,6,408,398,1.0,0.35332239,0.35332239,0.64667761,1.0,True,0.0,1691.882947293009,1478.4365839928437,1774.1239007914123,0.0,295.68731679856876
10->7,10,7,408,399,9.0,0.2617252,2.3555268,6.6444732,1.0,True,0.0,1285.993430824892,1285.993430824892,1543.1921169898703,0.0,257.19868616497837
10->8,10,8,408,401,4.0,0.30154403,1.20617612,2.7938238799999997,1.0,True,0.0,440.767208463185,440.767208463185,528.9206501558219,0.0,88.153441692637
10->9,10,9,408,407,1.0,0.18170136,0.18170136,0.81829864,1.0,True,0.1757000472665641,377.601151540438,377.601151540438,453.12138184852563,66.344540173564,75.5202303080876
11->1,11,1,409,393,3.0,0.47456485,1.42369455,1.5763054500000002,1.0,True,0.0,1111.5674458024841,927.560159667947,1113.0721916015364,0.0,185.5120319335894
11->10,11,10,409,408,4.0,0.20783487,0.83133948,3.16866052,0.0,False,1.0,376.409704913289,376.409704913289,451.69164589594675,0.0,75.2819409826578
11->12,11,12,409,410,4.0,0.33049573,1.32198292,2.67801708,1.0,True,0.0,372.895,372.75199999999995,447.3023999999999,0.0,74.5504
11->13,11,13,409,412,10.0,0.16297826,1.6297826000000002,8.3702174,1.0,True,0.0,372.2,372.2,446.64,0.0,74.44
11->14,11,14,409,414,1.0,0.31280309,0.31280309,0.6871969099999999,1.0,True,0.10380618540056694,966.978,966.2429999999999,1159.4915999999998,100.30199999999999,193.2486
11->2,11,2,409,394,2.0,0.30606418,0.61212836,1.38787164,1.0,True,0.0,1753.4188011441868,1579.5306343119837,1895.4367611743803,0.0,315.9061268623968
11->3,11,3,409,395,3.0,0.50035556,1.50106668,1.49893332,1.0,True,0.0,833.927674455639,697.3870000000002,836.8644000000002,0.0,139.47740000000005
11->4,11,4,409,396,5.0,0.45836707,2.29183535,2.70816465,1.0,True,0.0,535.828,535.828,642.9935999999999,0.0,107.1656
11->5,11,5,409,397,9.0,0.39337463,3.54037167,5.459628329999999,1.0,True,0.0,982.2140441862409,834.793847882601,1001.7526174591211,0.0,166.9587695765202
11->6,11,6,409,398,4.0,0.38760134,1.55040536,2.44959464,1.0,True,0.0,1455.994923420589,1315.736923420589,1578.8843081047066,0.0,263.1473846841178
11->7,11,7,409,399,7.0,0.28596903,2.00178321,4.998216790000001,1.0,True,0.0,1810.881495324954,1658.059467894256,1989.671361473107,0.0,331.6118935788512
11->8,11,8,409,401,2.0,0.32987113,0.65974226,1.34025774,0.0,False,1.0,817.176913376474,817.176913376474,980.6122960517687,0.0,163.43538267529482
11->9,11,9,409,407,1.0,0.31997564,0.31997564,0.68002436,1.0,True,0.13070636532147256,517.84985200039,501.199848697858,601.4398184374296,65.510010522969,100.2399697395716
12->1,12,1,410,393,3.0,0.45597008,1.36791024,1.6320897600000002,1.0,True,0.09136820994242209,1123.731939926328,1048.8831596679468,1258.659791601536,95.834576737612,209.77663193358936
12->10,12,10,410,408,4.0,0.26069599,1.04278396,2.95721604,1.0,True,0.17816393168747086,740.764320585986,740.074320585986,888.0891847031832,131.854550696533,148.01486411719722
12->11,12,11,410,409,4.0,0.36590518,1.46362072,2.5363792800000002,1.0,True,0.0,372.895,372.752,447.3024,0.0,74.55040000000001
12->13,12,13,410,412,13.0,0.27341238,3.55436094,9.44563906,1.0,True,0.0,252.493,249.971,299.9652,0.0,49.994200000000006
12->14,12,14,410,414,5.0,0.39468979,1.9734489499999999,3.02655105,0.0,False,1.0,595.5509999999999,593.491,712.1891999999999,0.0,118.6982
12->2,12,2,410,394,2.0,0.36848367,0.73696734,1.26303266,1.0,True,0.07283184708778484,1986.055801144187,1704.6526343119838,2045.5831611743804,124.153,340.9305268623968
12->3,12,3,410,395,4.0,0.51631496,2.06525984,1.93474016,1.0,True,0.11651492778512089,846.0921685794831,822.509,987.0108,95.834576737612,164.5018
12->4,12,4,410,396,7.0,0.47791789,3.34542523,3.6545747699999995,1.0,True,0.0,908.723,774.25,929.0999999999999,0.0,154.85000000000002
12->5,12,5,410,397,18.0,0.42871022,7.71678396,10.283216040000001,1.0,True,0.0,1355.109044186241,1207.545847882601,1449.0550174591212,0.0,241.5091695765202
12->6,12,6,410,398,6.0,0.4386265,2.6317589999999997,3.368241,1.0,True,0.0,1828.8899234205892,1670.046425919881,2004.055711103857,0.0,334.0092851839762
12->7,12,7,410,399,15.0,0.4226658,6.339987,8.660013000000001,1.0,True,0.0,2183.7764953249534,2026.0677514108777,2431.281301693053,0.0,405.21355028217556
12->8,12,8,410,401,3.0,0.39878061,1.19634183,1.80365817,1.0,True,0.12275554808244447,1181.531529049171,1074.1229439827641,1288.9475327793168,131.854550696533,214.82458879655283
12->9,12,9,410,407,2.0,0.29061676,0.58123352,1.41876648,0.0,False,1.0,379.07784869785803,379.07784869785803,454.8934184374296,0.0,75.81556973957161
13->1,13,1,412,393,6.0,0.3327482,1.9964892,4.003510800000001,1.0,True,0.11995633759967285,871.238939926328,798.9121596679471,958.6945916015364,95.834576737612,159.78243193358944
13->10,13,10,412,408,5.0,0.08266467,0.41332335,4.58667665,1.0,True,0.17816513538506196,740.069320585986,740.069320585986,888.0831847031832,131.854550696533,148.01386411719722
13->11,13,11,412,409,7.0,0.21226484,1.48585388,5.5141461199999995,1.0,True,0.0,372.2,372.2,446.64,0.0,74.44
13->12,13,12,412,410,11.0,0.23066363,2.53729993,8.46270007,1.0,True,0.0,252.493,249.971,299.9652,0.0,49.994200000000006
13->14,13,14,412,414,12.0,0.22478931,2.69747172,9.30252828,1.0,True,0.16881311431264306,594.7779999999999,594.16,712.992,100.30199999999999,118.832
13->2,13,2,412,394,7.0,0.15250464,1.06753248,5.93246752,0.0,False,1.0,1743.2414773471057,1513.931976059271,1816.718371271125,0.0,302.7863952118542
13->3,13,3,412,395,8.0,0.4011905,3.209524,4.790476,1.0,True,0.16144661551152384,593.5991685794829,593.5991685794829,712.3190022953795,95.834576737612,118.71983371589658
13->4,13,4,412,396,7.0,0.35892919,2.51250433,4.4874956699999995,1.0,True,0.0,908.028,773.385,928.0619999999999,0.0,154.67700000000002
13->5,13,5,412,397,13.0,0.24479154,3.18229002,9.81770998,1.0,True,0.0,1354.414044186241,1206.993847882601,1448.392617459121,0.0,241.39876957652018
13->6,13,6,412,398,4.0,0.24452382,0.97809528,3.02190472,1.0,True,0.0,1828.1949234205892,1669.181425919881,2003.017711103857,0.0,333.8362851839762
13->7,13,7,412,399,20.0,0.17883232,3.5766463999999996,16.423353600000002,1.0,True,0.0,2183.0814953249537,2026.0627514108776,2431.275301693053,0.0,405.2125502821755
13->8,13,8,412,401,4.0,0.23467888,0.93871552,3.06128448,1.0,True,0.12275611950734602,1180.836529049171,1074.1179439827642,1288.941532779317,131.854550696533,214.82358879655285
13->9,13,9,412,407,3.0,0.11442421,0.34327262999999997,2.65672737,1.0,True,0.10447720166849817,642.80785200039,627.026848697858,752.4322184374296,65.510010522969,125.4053697395716
14->1,14,1,414,393,1.0,0.49968811,0.49968811,0.50031189,0.0,False,1.0,898.2151596679469,898.2151596679469,1077.8581916015362,0.0,179.64303193358938
14->10,14,10,414,408,1.0,0.27100953,0.27100953,0.7289904700000001,1.0,True,0.17408712352726782,1334.8473205859857,1333.5653205859858,1600.2783847031828,232.156550696533,266.7130641171972
14->11,14,11,414,409,2.0,0.39167419,0.78334838,1.21665162,1.0,True,0.10380618540056694,966.978,966.2429999999999,1159.4915999999998,100.30199999999999,193.2486
14->12,14,12,414,410,3.0,0.38354654,1.15063962,1.84936038,0.0,False,1.0,595.5509999999999,593.491,712.1891999999999,0.0,118.6982
14->13,14,13,414,412,7.0,0.25011045,1.75077315,5.24922685,1.0,True,0.16881311431264304,594.7779999999999,594.1600000000001,712.9920000000001,100.30199999999999,118.83200000000002
14->2,14,2,414,394,1.0,0.37882704,0.37882704,0.62117296,0.0,False,1.0,2338.0194773471057,1992.1340863258165,2390.5609035909797,0.0,398.4268172651633
14->3,14,3,414,395,4.0,0.55539899,2.22159596,1.7784040399999999,1.0,True,0.1673795912958465,1188.3771685794827,1171.8069999999998,1406.1683999999998,196.136576737612,234.36139999999997
14->4,14,4,414,396,1.0,0.52079701,0.52079701,0.47920299,1.0,True,0.0736121487713695,1502.8060000000003,1362.5739999999996,1635.0887999999995,100.30199999999999,272.5147999999999
14->5,14,5,414,397,2.0,0.35976577,0.71953154,1.28046846,1.0,True,0.05580550081825851,1949.1920441862412,1797.3496972395787,2156.8196366874945,100.30199999999999,359.46993944791575
14->6,14,6,414,398,1.0,0.39208615,0.39208615,0.60791385,1.0,True,0.044511256440223856,2422.9729234205897,2253.407520290963,2704.0890243491554,100.30199999999999,450.6815040581926
14->7,14,7,414,399,6.0,0.37913399,2.27480394,3.7251960600000005,1.0,True,0.03828965467790252,2777.859495324954,2619.5587514108774,3143.470501693053,100.30199999999999,523.9117502821755
14->9,14,9,414,407,2.0,0.26386764,0.52773528,1.47226472,0.0,False,1.0,974.6288486978578,972.5688486978579,1167.0826184374293,0.0,194.5137697395716
2->1,2,1,394,393,8.0,0.41064133,3.28513064,4.71486936,0.0,False,1.0,1230.8984555464122,1144.441642427242,1373.3299709126902,0.0,228.8883284854484
2->10,2,10,394,408,1.0,0.25203708,0.25203708,0.74796292,1.0,True,0.0,1989.3068250166068,1915.641275810911,2298.7695309730934,0.0,383.12825516218226
2->11,2,11,394,409,2.0,0.33415125,0.6683025,1.3316975,1.0,True,0.0,1753.4188011441872,1579.5306343119837,1895.4367611743803,0.0,315.9061268623968
2->12,2,12,394,410,1.0,0.33378967,0.33378967,0.66621033,1.0,True,0.07283184708778484,1986.0558011441874,1704.6526343119835,2045.5831611743802,124.153,340.93052686239673
2->13,2,13,394,412,4.0,0.18834759,0.75339036,3.24660964,0.0,False,1.0,1743.241477347106,1546.8578527790503,1856.2294233348603,0.0,309.3715705558101
2->14,2,14,394,414,1.0,0.37185869,0.37185869,0.62814131,0.0,False,1.0,2338.019477347106,2042.5449931413827,2451.053991769659,0.0,408.5089986282766
2->3,2,3,394,395,12.0,0.47078889,5.64946668,6.35053332,0.0,False,1.0,1131.9281626564798,953.2586841995671,1143.9104210394805,0.0,190.65173683991344
2->4,2,4,394,396,3.0,0.39985157,1.19955471,1.8004452899999999,1.0,True,0.0,1217.590801144187,1059.030634311984,1270.8367611743806,0.0,211.8061268623968
2->5,2,5,394,397,21.0,0.33058436,6.94227156,14.05772844,1.0,True,0.0,1449.338845330428,1382.2586812744853,1658.7104175293823,0.0,276.45173625489707
2->6,2,6,394,398,24.0,0.40840437,9.80170488,14.198295120000001,1.0,True,0.0,623.775887892374,623.775887892374,748.5310654708488,0.0,124.75517757847481
2->7,2,7,394,399,12.0,0.34465387,4.13584644,7.864153560000001,1.0,True,0.037221521032814175,1654.0968313928433,1654.0968313928433,1984.916197671412,61.568,330.8193662785687
2->8,2,8,394,401,2.0,0.3480609,0.6961218,1.3038782,1.0,True,0.0,2430.0740334797915,2322.0523551919505,2786.4628262303404,0.0,464.41047103839014
3->1,3,1,395,393,4.0,0.62293545,2.4917418,1.5082582000000002,1.0,True,0.0,277.63977134684495,277.63977134684495,333.16772561621394,0.0,55.52795426936899
3->10,3,10,395,408,2.0,0.37439627,0.74879254,1.25120746,1.0,True,0.0,1199.5096983280591,1071.614625785588,1285.9375509427057,0.0,214.32292515711762
3->11,3,11,395,409,5.0,0.53629154,2.6814577,2.3185423,1.0,True,0.0,833.9276744556389,697.387,836.8643999999999,0.0,139.4774
3->12,3,12,395,410,6.0,0.55388429,3.3233057399999995,2.6766942600000005,1.0,True,0.11651492778512089,846.0921685794831,822.509,987.0108,95.834576737612,164.5018
3->13,3,13,395,412,8.0,0.4037355,3.229884,4.770116,1.0,True,0.1614466155115238,593.599168579483,593.599168579483,712.3190022953796,95.834576737612,118.71983371589661
3->14,3,14,395,414,2.0,0.5007865,1.001573,0.998427,1.0,True,0.16737959129584648,1188.377168579483,1171.807,1406.1684,196.136576737612,234.3614
3->2,3,2,395,394,10.0,0.45791364,4.5791364,5.4208636,0.0,False,1.0,920.332807479788,920.332807479788,1104.3993689757456,0.0,184.06656149595761
3->4,3,4,395,396,10.0,0.62151757,6.2151757,3.7848243000000004,1.0,True,0.0,298.099674455639,298.099674455639,357.7196093467668,0.0,59.6199348911278
3->5,3,5,395,397,19.0,0.55821547,10.60609393,8.39390607,1.0,True,0.0,659.54171864188,659.54171864188,791.450062370256,0.0,131.90834372837602
3->6,3,6,395,398,7.0,0.50785172,3.55496204,3.44503796,1.0,True,0.0,1133.3225978762277,1095.818673336721,1314.9824080040653,0.0,219.16373466734422
3->7,3,7,395,399,14.0,0.54640122,7.6496170800000005,6.3503829199999995,1.0,True,0.0,1488.209169780593,1488.209169780593,1785.8510037367114,0.0,297.6418339561186
3->8,3,8,395,401,2.0,0.52960216,1.05920432,0.9407956799999999,1.0,True,0.0,1640.276906791244,1479.293220362424,1775.151864434909,0.0,295.8586440724848
3->9,3,9,395,407,3.0,0.46772374,1.40317122,1.5968287799999998,1.0,True,0.05473549986302959,1351.7775264560287,1196.846848697858,1436.2162184374295,65.510010522969,239.3693697395716
4->1,4,1,396,393,4.0,0.59784919,2.39139676,1.6086032399999999,1.0,True,0.0,575.739445802484,569.335590170867,683.2027082050404,0.0,113.86711803417342
4->10,4,10,396,408,4.0,0.38830131,1.55320524,2.44679476,1.0,True,0.0,986.3540238724199,905.365481024463,1086.4385772293556,0.0,181.0730962048926
4->11,4,11,396,409,4.0,0.43242528,1.72970112,2.27029888,1.0,True,0.0,535.828,535.828,642.9935999999999,0.0,107.1656
4->12,4,12,396,410,8.0,0.46433255,3.7146604,4.2853396,1.0,True,0.0,908.723,774.25,929.0999999999999,0.0,154.85000000000002
4->13,4,13,396,412,8.0,0.2938762,2.3510096,5.648990400000001,1.0,True,0.0,908.0279999999999,773.385,928.0619999999999,0.0,154.67700000000002
4->14,4,14,396,414,2.0,0.426322,0.852644,1.147356,1.0,True,0.0736121487713695,1502.806,1362.5739999999996,1635.0887999999995,100.30199999999999,272.5147999999999
4->2,4,2,396,394,5.0,0.42427838,2.1213919,2.8786080999999997,1.0,True,0.0,1217.590801144187,1059.030634311984,1270.8367611743806,0.0,211.8061268623968
4->3,4,3,396,395,10.0,0.57506991,5.750699099999999,4.249300900000001,1.0,True,0.0,298.09967445563905,298.09967445563905,357.71960934676684,0.0,59.61993489112781
4->5,4,5,396,397,20.0,0.46184645,9.236929,10.763071,1.0,True,0.0,446.38604418624095,446.38604418624095,535.6632530234891,0.0,89.2772088372482
4->6,4,6,396,398,15.0,0.45535912,6.8303868,8.1696132,1.0,True,0.0,920.1669234205891,920.1669234205891,1104.200308104707,0.0,184.03338468411783
4->7,4,7,396,399,13.0,0.44314708,5.76091204,7.23908796,1.0,True,0.0,1275.0534953249542,1275.0534953249542,1530.064194389945,0.0,255.01069906499083
4->8,4,8,396,401,1.0,0.4768889,0.4768889,0.5231110999999999,1.0,True,0.0,1427.1212323356049,1312.942220362424,1575.5306644349087,0.0,262.58844407248483
4->9,4,9,396,407,6.0,0.4210762,2.5264572000000003,3.4735427999999997,1.0,True,0.06327709786738515,1053.67785200039,1035.287848697858,1242.3454184374295,65.510010522969,207.0575697395716
5->1,5,1,397,393,11.0,0.50683124,5.57514364,5.42485636,1.0,True,0.0,937.181489988725,930.777634357108,1116.9331612285296,0.0,186.1555268714216
5->10,5,10,397,408,15.0,0.27065567,4.05983505,10.94016495,1.0,True,0.0,539.967979686179,539.967979686179,647.9615756234148,0.0,107.9935959372358
5->11,5,11,397,409,14.0,0.34681271,4.85537794,9.14462206,1.0,True,0.0,982.2140441862409,834.793847882601,1001.7526174591211,0.0,166.9587695765202
5->12,5,12,397,410,23.0,0.42422524,9.75718052,13.242819480000001,1.0,True,0.0,1355.1090441862411,1207.545847882601,1449.0550174591212,0.0,241.5091695765202
5->13,5,13,397,412,15.0,0.21543117,3.23146755,11.76853245,1.0,True,0.0,1354.414044186241,1206.9938478826011,1448.3926174591213,0.0,241.39876957652024
5->14,5,14,397,414,1.0,0.44425406,0.44425406,0.55574594,1.0,True,0.05580550081825851,1949.192044186241,1797.3496972395787,2156.8196366874945,100.30199999999999,359.46993944791575
5->2,5,2,397,394,19.0,0.39217199,7.451267810000001,11.548732189999999,1.0,True,0.0,1449.3388453304276,1382.2586812744848,1658.7104175293819,0.0,276.45173625489696
5->3,5,3,397,395,26.0,0.54169412,14.08404712,11.91595288,1.0,True,0.0,659.5417186418799,659.5417186418799,791.4500623702559,0.0,131.908343728376
5->4,5,4,397,396,18.0,0.49417577,8.89516386,9.10483614,1.0,True,0.0,446.38604418624095,446.38604418624095,535.6632530234891,0.0,89.2772088372482
5->6,5,6,397,398,37.0,0.4366261,16.1551657,20.8448343,1.0,True,0.0,1151.9149676068298,1015.977604306665,1219.1731251679978,0.0,203.195520861333
5->7,5,7,397,399,55.0,0.41998518,23.0991849,31.900815099999996,1.0,True,0.0,828.667451138713,828.667451138713,994.4009413664555,0.0,165.7334902277426
5->8,5,8,397,401,5.0,0.47253961,2.36269805,2.63730195,1.0,True,0.0,980.735188149364,945.6463144400581,1134.7755773280696,0.0,189.12926288801162
5->9,5,9,397,407,13.0,0.28454789,3.69912257,9.30087743,1.0,True,0.07478375870424173,917.569131226617,887.151720147505,1064.582064177006,66.344540173564,177.43034402950101
6->1,6,1,398,393,5.0,0.50786715,2.5393357500000002,2.4606642499999998,1.0,True,0.0,1410.9623692230732,1355.304169576822,1626.3650034921864,0.0,271.0608339153644
6->10,6,10,398,408,2.0,0.32292279,0.64584558,1.35415442,1.0,True,0.0,1691.882947293009,1478.7967692919158,1774.5561231502988,0.0,295.7593538583832
6->11,6,11,398,409,2.0,0.38065136,0.76130272,1.23869728,1.0,True,0.0,1455.9949234205892,1315.7369234205892,1578.8843081047069,0.0,263.14738468411787
6->12,6,12,398,410,8.0,0.4379409,3.5035272,4.496472799999999,1.0,True,0.0,1828.8899234205894,1670.0464259198807,2004.0557111038568,0.0,334.00928518397615
6->13,6,13,398,412,5.0,0.21038093,1.05190465,3.94809535,1.0,True,0.0,1828.1949234205895,1669.181425919881,2003.017711103857,0.0,333.8362851839762
6->14,6,14,398,414,1.0,0.39798392,0.39798392,0.6020160800000001,1.0,True,0.044511256440223856,2422.9729234205893,2253.407520290963,2704.0890243491554,100.30199999999999,450.6815040581926
6->2,6,2,398,394,24.0,0.40844458,9.80266992,14.197330079999999,1.0,True,0.0,623.775887892374,623.775887892374,748.5310654708488,0.0,124.75517757847481
6->3,6,3,398,395,9.0,0.51612422,4.64511798,4.35488202,1.0,True,0.0,1133.3225978762282,1095.8186733367208,1314.982408004065,0.0,219.1637346673442
6->4,6,4,398,396,16.0,0.49261607,7.88185712,8.11814288,1.0,True,0.0,920.1669234205891,920.1669234205891,1104.200308104707,0.0,184.03338468411783
6->5,6,5,398,397,29.0,0.37978404,11.01373716,17.986262840000002,1.0,True,0.0,1151.9149676068303,1016.3377896057368,1219.605347526884,0.0,203.2675579211474
6->7,6,7,398,399,37.0,0.35513069,13.139835530000001,23.86016447,1.0,True,0.0597561375301423,1030.320943500469,1030.320943500469,1236.3851322005628,61.568,206.0641887000938
6->8,6,8,398,401,2.0,0.47370043,0.94740086,1.0525991399999999,0.0,False,1.0,2077.8416933900717,1746.0858340807417,2095.30300089689,0.0,349.2171668161484
6->9,6,9,398,407,4.0,0.3320013,1.3280052,2.6719948000000002,1.0,True,0.03620594897529483,1973.8447754209792,1809.371453505329,2171.2457442063946,65.510010522969,361.87429070106583
7->1,7,1,399,393,8.0,0.43955594,3.51644752,4.48355248,1.0,True,0.0,1765.8489411274377,1759.4450854958204,2111.3341025949844,0.0,351.8890170991641
7->10,7,10,399,408,8.0,0.25442703,2.03541624,5.96458376,1.0,True,0.0,1285.993430824892,1280.828410460021,1536.994092552025,0.0,256.1656820920042
7->11,7,11,399,409,5.0,0.36164894,1.8082447,3.1917552999999996,1.0,True,0.0,1810.881495324954,1652.894447529385,1983.473337035262,0.0,330.578889505877
7->12,7,12,399,410,11.0,0.40892308,4.49815388,6.50184612,1.0,True,0.0,2183.776495324954,2020.902731046007,2425.083277255208,0.0,404.1805462092014
7->13,7,13,399,412,14.0,0.17134967,2.39889538,11.60110462,1.0,True,0.0,2183.0814953249537,2020.8977310460068,2425.077277255208,0.0,404.17954620920136
7->14,7,14,399,414,4.0,0.32237259,1.28949036,2.7105096399999997,1.0,True,0.03836530007278957,2777.8594953249535,2614.3937310460074,3137.2724772552087,100.30199999999999,522.8787462092015
7->2,7,2,399,394,12.0,0.30328925,3.6394710000000003,8.360529,1.0,True,0.03722962791290104,1653.7366460937708,1653.7366460937708,1984.4839753125248,61.568,330.7473292187542
7->3,7,3,399,395,12.0,0.54711912,6.565429439999999,5.434570560000001,1.0,True,0.0,1488.2091697805927,1488.2091697805927,1785.8510037367112,0.0,297.64183395611855
7->4,7,4,399,396,12.0,0.44997298,5.39967576,6.600324239999999,1.0,True,0.0,1275.0534953249537,1275.0534953249537,1530.0641943899443,0.0,255.01069906499075
7->5,7,5,399,397,42.0,0.42246314,17.743451880000002,24.256548119999998,1.0,True,0.0,828.6674511387129,828.6674511387129,994.4009413664554,0.0,165.73349022774258
7->6,7,6,399,398,35.0,0.38875732,13.6065062,21.393493799999998,1.0,True,0.059777034716851876,1029.960758201397,1029.960758201397,1235.9529098416765,61.568,205.99215164027942
7->8,7,8,399,401,25.0,0.41215018,10.3037545,14.6962455,1.0,True,0.19837456981450405,1225.750582565236,1189.84270608514,1427.8112473021679,236.03453496656502,237.96854121702802
7->9,7,9,399,407,4.0,0.30650117,1.22600468,2.77399532,1.0,True,0.040004436542687274,1663.5945823653296,1658.4295620004586,1990.1154744005503,66.344540173564,331.68591240009175
8->1,8,1,401,393,4.0,0.51071371,2.04285484,1.95714516,1.0,True,0.0,1917.9166781380889,1729.7570559746396,2075.7084671695675,0.0,345.9514111949279
8->10,8,10,401,408,6.0,0.34191468,2.0514880800000004,3.9485119199999996,1.0,True,0.0,440.767208463185,440.767208463185,528.9206501558219,0.0,88.153441692637
8->11,8,11,401,409,1.0,0.36349341,0.36349341,0.63650659,0.0,False,1.0,817.1769133764741,817.1769133764741,980.6122960517689,0.0,163.43538267529482
8->12,8,12,401,410,2.0,0.39574924,0.79149848,1.20850152,1.0,True,0.12275554808244447,1181.531529049171,1074.1229439827641,1288.9475327793168,131.854550696533,214.82458879655283
8->13,8,13,401,412,2.0,0.28139916,0.56279832,1.43720168,1.0,True,0.12275611950734608,1180.836529049171,1074.1179439827638,1288.9415327793165,131.854550696533,214.82358879655277
8->14,8,14,401,414,1.0,0.43129395,0.43129395,0.5687060500000001,1.0,True,0.1392148054015867,1775.614529049171,1667.613943982764,2001.1367327793168,232.156550696533,333.52278879655285
8->2,8,2,401,394,2.0,0.35881301,0.71762602,1.28237398,1.0,True,0.0,2430.0740334797924,2322.0523551919514,2786.4628262303418,0.0,464.4104710383903
8->3,8,3,401,395,2.0,0.5589267,1.1178534,0.8821466,1.0,True,0.0,1640.2769067912438,1479.2932203624243,1775.1518644349092,0.0,295.8586440724849
8->5,8,5,401,397,3.0,0.42769204,1.28307612,1.7169238800000002,1.0,True,0.0,980.735188149364,945.6463144400582,1134.7755773280699,0.0,189.12926288801165
8->6,8,6,401,398,3.0,0.46263303,1.38789909,1.61210091,0.0,False,1.0,2077.841693390072,1745.7256487816699,2094.870778538004,0.0,349.145129756334
8->7,8,7,401,399,19.0,0.41255675,7.83857825,11.161421749999999,1.0,True,0.198374569814504,1225.750582565236,1189.8427060851402,1427.811247302168,236.034534966565,237.96854121702805
8->9,8,9,401,407,1.0,0.36173442,0.36173442,0.63826558,1.0,True,0.0932263910002882,818.368360003623,711.649774937216,853.9797299246592,66.344540173564,142.3299549874432
9->10,9,10,407,408,2.0,0.2018545,0.403709,1.596291,1.0,True,0.1757000472665641,377.601151540438,377.601151540438,453.12138184852563,66.344540173564,75.5202303080876
